County,FIPS,Value (Percent),Bachelors Degree Totals,Rank within US (of 3142)
"Michigan",26000,30.6,2119662,"33"
"Clare County",26035,12.1,2720,"2,928"
"Lake County",26085,13.1,1245,"2,814"
"Ogemaw County",26129,13.3,2074,"2,796"
"Oscoda County",26135,13.6,834,"2,759"
"Montcalm County",26117,13.9,6478,"2,721"
"Tuscola County",26157,14.2,5446,"2,692"
"Gladwin County",26051,14.2,2678,"2,685"
"Montmorency County",26119,14.3,1042,"2,663"
"Arenac County",26011,14.3,1622,"2,662"
"Baraga County",26013,14.7,915,"2,614"
"Sanilac County",26151,14.9,4340,"2,565"
"Ontonagon County",26131,15.0,730,"2,551"
"Osceola County",26133,15.2,2457,"2,517"
"Missaukee County",26113,15.2,1603,"2,514"
"Branch County",26023,15.4,4760,"2,485"
"Kalkaska County",26079,15.9,2055,"2,413"
"Ionia County",26067,16.1,7349,"2,371"
"Iosco County",26069,16.1,3157,"2,369"
"Huron County",26063,16.2,3778,"2,341"
"St. Joseph County",26149,16.4,6743,"2,300"
"Alpena County",26007,16.8,3609,"2,233"
"Gratiot County",26057,16.8,4872,"2,231"
"Newaygo County",26123,17.1,5956,"2,190"
"Roscommon County",26143,17.1,3217,"2,185"
"Menominee County",26109,17.5,3054,"2,132"
"Luce County",26095,17.9,760,"2,067"
"Alger County",26003,17.9,1226,"2,057"
"Shiawassee County",26155,18.2,8795,"1,988"
"Hillsdale County",26059,18.3,5748,"1,965"
"Lapeer County",26087,18.6,11823,"1,920"
"Schoolcraft County",26153,18.7,1154,"1,902"
"Delta County",26041,18.8,5076,"1,897"
"Presque Isle County",26141,19.2,1953,"1,819"
"Iron County",26071,19.2,1714,"1,813"
"St. Clair County",26147,19.4,22155,"1,775"
"Alcona County",26001,19.4,1622,"1,763"
"Wexford County",26165,20.2,4713,"1,625"
"Oceana County",26127,20.3,3766,"1,617"
"Bay County",26017,20.3,15275,"1,612"
"Muskegon County",26121,20.5,24703,"1,581"
"Cass County",26027,20.9,7729,"1,520"
"Crawford County",26039,21.2,2108,"1,476"
"Van Buren County",26159,21.4,11143,"1,445"
"Monroe County",26115,21.6,23625,"1,410"
"Gogebic County",26053,21.7,2477,"1,407"
"Calhoun County",26025,21.8,19950,"1,386"
"Lenawee County",26091,21.9,15118,"1,380"
"Manistee County",26101,22.0,4152,"1,363"
"Genesee County",26049,22.2,62266,"1,333"
"Saginaw County",26145,22.3,29353,"1,320"
"Jackson County",26075,22.6,25413,"1,275"
"Cheboygan County",26031,22.7,4474,"1,268"
"Mason County",26105,23.3,4931,"1,193"
"Chippewa County",26033,23.4,6086,"1,182"
"Dickinson County",26043,23.5,4482,"1,163"
"Allegan County",26005,23.7,19314,"1,141"
"Barry County",26015,24.1,10500,"1,093"
"Mecosta County",26107,24.4,6178,"1,062"
"Mackinac County",26097,24.7,2088,"1,019"
"Wayne County",26163,25.8,312420,"910"
"Macomb County",26099,26.1,162897,"873"
"Otsego County",26137,26.8,4797,"813"
"Berrien County",26021,29.0,31324,"678"
"Antrim County",26009,30.0,5295,"619"
"Isabella County",26073,30.2,11058,"604"
"Eaton County",26045,30.3,23292,"598"
"Charlevoix County",26029,32.5,6301,"487"
"Clinton County",26037,32.6,17800,"480"
"Benzie County",26019,32.8,4453,"467"
"Houghton County",26061,33.6,7432,"422"
"Marquette County",26103,34.1,15123,"400"
"Midland County",26111,35.6,20868,"341"
"Ottawa County",26139,35.7,65818,"340"
"Keweenaw County",26083,36.8,608,"304"
"Emmet County",26047,37.0,9172,"299"
"Livingston County",26093,37.8,51798,"273"
"Kent County",26081,38.1,166025,"263"
"Grand Traverse County",26055,38.4,26253,"252"
"Kalamazoo County",26077,40.4,66595,"209"
"Ingham County",26065,40.6,71050,"206"
"Leelanau County",26089,47.3,8189,"98"
"Oakland County",26125,48.9,442235,"84"
"Washtenaw County",26161,57.2,134255,"27"